0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:27 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7551
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:27 +0000] "GET /medicare/json/data/all/products?_=1639233687848 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:27 +0000] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:32 +0000] "GET /medicare/show/5/product HTTP/1.1" 200 7209
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:34 +0000] "GET /medicare/cart/add/5/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:34 +0000] "GET /medicare/cart/show?result=added HTTP/1.1" 200 8266
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:36 +0000] "GET /medicare/cart/validate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:36 +0000] "GET /medicare/cart/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:36 +0000] "GET /medicare/cart/checkout?execution=e1s1 HTTP/1.1" 200 6319
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:38 +0000] "GET /medicare/cart/checkout?execution=e1s1&_eventId_addressSelection&shippingId=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:39 +0000] "GET /medicare/cart/checkout?execution=e1s2 HTTP/1.1" 200 5958
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:41:46 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:51 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [11/Dec/2021:14:44:52 +0000] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:30 +0000] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:34 +0000] "GET /medicare/contact HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:37 +0000] "GET /medicare/about HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:41 +0000] "GET /medicare/contact HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:42 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:45 +0000] "GET /medicare/contact HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:46 +0000] "GET /medicare/membership HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:47 +0000] "GET /medicare/membership?execution=e1s1 HTTP/1.1" 200 6065
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:52 +0000] "GET /medicare/contact HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:53 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 6815
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:53 +0000] "GET /medicare/json/data/all/products?_=1639234853532 HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:00:53 +0000] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:20 +0000] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:21 +0000] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:21 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:21 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:21 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:21 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:21 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:21 +0000] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:21 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:01:21 +0000] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [11/Dec/2021:15:03:35 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
